Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_Bullish FVG Top,Exit_Bullish FVG Top,Entry_Bullish FVG Bottom,Exit_Bullish FVG Bottom,Entry_Bearish FVG Bottom,Exit_Bearish FVG Bottom,Entry_Bearish FVG Top,Exit_Bearish FVG Top
3,3,11,25500.0,24800.0,,,-2401.8,301.8,-0.031396078431372564,2025-10-08 04:00:00+00:00,2025-10-10 20:00:00+00:00,2 days 16:00:00,,25500.0,,25258.75,,,24800.0,,25719.75
-3,12,13,25147.0,25200.5,25200.5,23999.0,-462.58500000000004,302.08500000000004,-0.006131745337415972,2025-10-12 20:00:00+00:00,2025-10-13 00:00:00+00:00,0 days 04:00:00,,,25147.0,,24800.0,,,,
3,15,20,25310.0,25000.0,,,-1231.8600000000001,301.86,-0.01622362702489134,2025-10-13 08:00:00+00:00,2025-10-14 12:00:00+00:00,1 days 04:00:00,,,,,,,25183.25,,25320.0
-3,20,22,25000.0,25139.0,,,-717.8340000000001,300.834,-0.00957112000000001,2025-10-14 12:00:00+00:00,2025-10-14 20:00:00+00:00,0 days 08:00:00,,,,,,25183.25,,25320.0,
3,22,29,25139.0,25398.0,,,473.778,303.222,0.006282111460280893,2025-10-14 20:00:00+00:00,2025-10-16 20:00:00+00:00,2 days 00:00:00,,,,,,,25398.0,,25500.0
-3,29,33,25398.0,25415.0,,,-355.87800000000004,304.87800000000004,-0.004670682730923703,2025-10-16 20:00:00+00:00,2025-10-17 20:00:00+00:00,1 days 00:00:00,,,25415.0,,25231.25,25398.0,,25500.0,
3,33,45,25415.0,25715.0,,,593.22,306.78,0.007780444619319383,2025-10-17 20:00:00+00:00,2025-10-22 04:00:00+00:00,4 days 08:00:00,,25415.0,,25231.25,,,,,
-3,45,46,25715.0,25795.0,,25575.0,-549.06,309.06,-0.007117246743145974,2025-10-22 04:00:00+00:00,2025-10-22 08:00:00+00:00,0 days 04:00:00,,,25740.0,,25715.0,,,,
3,48,49,25452.0,25452.0,,,-305.424,305.424,-0.004,2025-10-22 16:00:00+00:00,2025-10-22 20:00:00+00:00,0 days 04:00:00,,,,,,25452.0,25452.0,25740.0,25750.0
-3,49,51,25452.0,25559.0,,,-627.066,306.06600000000003,-0.008212399811409615,2025-10-22 20:00:00+00:00,2025-10-23 04:00:00+00:00,0 days 08:00:00,,,25559.0,,25452.0,25452.0,,25750.0,
3,51,75,25559.0,26669.75,,,3018.8775,313.37250000000006,0.03937135646934533,2025-10-23 04:00:00+00:00,2025-10-30 04:00:00+00:00,7 days 00:00:00,,25559.0,,25452.0,,,,,
