Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_Bullish FVG Top,Exit_Bullish FVG Top,Entry_Bullish FVG Bottom,Exit_Bullish FVG Bottom,Entry_Bearish FVG Bottom,Exit_Bearish FVG Bottom,Entry_Bearish FVG Top,Exit_Bearish FVG Top
3,3,18,25500.0,25200.5,,,-1202.703,304.203,-0.015721607843137208,2025-10-08 02:00:00+00:00,2025-10-10 18:00:00+00:00,2 days 16:00:00,,25500.0,,25258.75,,,25200.5,,25719.75
-3,18,23,25200.5,25310.0,,,-631.563,303.063,-0.00835384218567091,2025-10-10 18:00:00+00:00,2025-10-13 04:00:00+00:00,2 days 10:00:00,,,,,,25200.5,,25719.75,
3,23,27,25310.0,25300.0,,,-333.66,303.66,-0.004394310549189997,2025-10-13 04:00:00+00:00,2025-10-13 12:00:00+00:00,0 days 08:00:00,,,,,,,,,
-3,27,28,25300.0,25320.0,,25280.0,-363.72,303.72,-0.004792094861660075,2025-10-13 12:00:00+00:00,2025-10-13 14:00:00+00:00,0 days 02:00:00,,,25320.0,,25300.0,,,,
3,29,33,25320.0,25000.0,,,-1261.92,301.92,-0.016612954186413884,2025-10-13 16:00:00+00:00,2025-10-14 12:00:00+00:00,0 days 20:00:00,,25320.0,,25300.0,,,25000.0,,25320.0
-3,33,35,25000.0,25139.0,,,-717.8340000000001,300.834,-0.00957112000000001,2025-10-14 12:00:00+00:00,2025-10-14 16:00:00+00:00,0 days 04:00:00,,,25139.0,,25000.0,25000.0,,25320.0,
3,35,47,25139.0,25398.0,,,473.778,303.222,0.006282111460280893,2025-10-14 16:00:00+00:00,2025-10-16 18:00:00+00:00,2 days 02:00:00,,25139.0,,25000.0,,,25398.0,,25558.0
-3,47,53,25398.0,25415.0,,,-355.87800000000004,304.87800000000004,-0.004670682730923703,2025-10-16 18:00:00+00:00,2025-10-17 16:00:00+00:00,0 days 22:00:00,,,25415.0,,25231.25,25398.0,,25558.0,
3,54,73,25415.0,25715.0,,,593.22,306.78,0.007780444619319383,2025-10-17 18:00:00+00:00,2025-10-22 02:00:00+00:00,4 days 08:00:00,,25415.0,,25231.25,,,25715.0,,25785.0
-3,73,76,25715.0,25795.0,,,-549.06,309.06,-0.007117246743145974,2025-10-22 02:00:00+00:00,2025-10-22 08:00:00+00:00,0 days 06:00:00,,,25795.0,,25715.0,25715.0,,25785.0,
