Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_Bullish FVG Top,Exit_Bullish FVG Top,Entry_Bullish FVG Bottom,Exit_Bullish FVG Bottom,Entry_Bearish FVG Bottom,Exit_Bearish FVG Bottom,Entry_Bearish FVG Top,Exit_Bearish FVG Top
-1404,128,131,64.35,64.55,64.55,63.94999999999999,-642.751200000004,361.9512,-0.007114219114219083,2025-09-29 00:00:00+00:00,2025-09-29 06:00:00+00:00,0 days 06:00:00,,,,,,,,,
-1432,137,144,62.62,61.779999999999994,63.04,61.779999999999994,846.5984000000049,356.2816,0.009441073139572065,2025-09-29 18:00:00+00:00,2025-09-30 08:00:00+00:00,0 days 14:00:00,,,,,,,62.22,,62.23
-1455,145,146,62.22,61.51,62.45,61.75999999999999,672.9957000000013,360.0543,0.007433944069431083,2025-09-30 10:00:00+00:00,2025-09-30 12:00:00+00:00,0 days 02:00:00,,,,,,,,,
-1480,164,166,61.61,61.34,,,35.667999999994095,363.932,0.0003911702645674076,2025-10-02 00:00:00+00:00,2025-10-02 04:00:00+00:00,0 days 04:00:00,,,,,,,,,
1490,167,168,61.22,61.02,61.02,61.61999999999999,-662.2751999999937,364.27520000000004,-0.007260372427311286,2025-10-02 06:00:00+00:00,2025-10-02 08:00:00+00:00,0 days 02:00:00,,,,,,,,,
-1513,174,177,59.88,60.1,60.1,59.440000000000005,-695.9194799999983,363.05948,-0.007681362725450887,2025-10-02 20:00:00+00:00,2025-10-03 02:00:00+00:00,0 days 06:00:00,,,,,,,,,
1494,180,181,60.16,60.02,60.02,60.43999999999998,-568.2578399999902,359.09784,-0.006322473404255176,2025-10-03 08:00:00+00:00,2025-10-03 10:00:00+00:00,0 days 02:00:00,,,,,,,,,
-1480,187,188,60.36,60.83,,59.44,-1054.3223999999982,358.7224,-0.011802186878727704,2025-10-05 22:00:00+00:00,2025-10-06 00:00:00+00:00,0 days 02:00:00,,,60.74,,60.08,,,,
1453,191,193,60.74,60.31,60.31,61.6,-976.5612999999996,351.7713,-0.011065195917023405,2025-10-06 06:00:00+00:00,2025-10-06 10:00:00+00:00,0 days 04:00:00,,,,,,,,,
1421,214,216,61.43,61.71,61.29,61.71,47.91612000000157,349.96388,0.0005489174670355703,2025-10-08 04:00:00+00:00,2025-10-08 08:00:00+00:00,0 days 04:00:00,,,,,,,,,
-1423,225,226,61.38,61.56,61.56,61.02,-606.0272399999997,349.88724,-0.0069384164222873876,2025-10-09 02:00:00+00:00,2025-10-09 04:00:00+00:00,0 days 02:00:00,,,,,,,,,
1407,228,229,61.64,61.34,61.34,62.239999999999995,-768.165719999996,346.06572,-0.008857235561323742,2025-10-09 08:00:00+00:00,2025-10-09 10:00:00+00:00,0 days 02:00:00,,,,,,,,,
