Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_Bullish FVG Top,Exit_Bullish FVG Top,Entry_Bullish FVG Bottom,Exit_Bullish FVG Bottom,Entry_Bearish FVG Bottom,Exit_Bearish FVG Bottom,Entry_Bearish FVG Top,Exit_Bearish FVG Top
-1487,89,91,62.67,62.8,62.8,62.41000000000001,-566.4577799999932,373.14778,-0.006078506462422069,2025-09-18 06:00:00+00:00,2025-09-18 08:00:00+00:00,0 days 02:00:00,,,,,,,,,
1470,96,98,63.0,62.78,62.78,63.44,-693.1931999999983,369.7932,-0.007485079365079308,2025-09-18 13:00:00+00:00,2025-09-18 15:00:00+00:00,0 days 02:00:00,,,,,,,,,
1471,103,105,62.52,62.43,,,-499.99290000000497,367.6029,-0.005436660268714107,2025-09-18 20:00:00+00:00,2025-09-18 23:00:00+00:00,0 days 03:00:00,,,,,,,62.43,,62.47
-1465,106,107,62.43,62.5,62.5,62.29,-468.5949000000004,366.0449,-0.0051234983181162475,2025-09-19 00:00:00+00:00,2025-09-19 01:00:00+00:00,0 days 01:00:00,,,,,,,,,
-1467,116,117,62.03,62.2,62.2,61.69,-613.8808200000025,364.49082,-0.006746090601321938,2025-09-19 10:00:00+00:00,2025-09-19 11:00:00+00:00,0 days 01:00:00,,,,,,,,,
1460,132,137,61.91,61.76,61.76,62.209999999999994,-580.116399999998,361.1164,-0.006418026167016666,2025-09-22 03:00:00+00:00,2025-09-22 08:00:00+00:00,0 days 05:00:00,,,,,,,,,
-1465,143,145,61.29,61.39,,,-505.95240000000206,359.4524,-0.00563485070974064,2025-09-22 14:00:00+00:00,2025-09-22 16:00:00+00:00,0 days 02:00:00,,,,,,,,,
1458,154,155,61.24,61.18,,,-444.4567200000033,356.97672,-0.004977792292619258,2025-09-23 02:00:00+00:00,2025-09-23 03:00:00+00:00,0 days 01:00:00,,,,,,61.27,61.18,61.47,61.25
-1452,156,157,61.18,61.27,61.27,60.99999999999999,-486.274800000005,355.5948,-0.005474011114743415,2025-09-23 04:00:00+00:00,2025-09-23 05:00:00+00:00,0 days 01:00:00,,,,,,,,,
1409,168,169,62.73,62.49,62.49,63.20999999999999,-691.0299599999928,352.86996,-0.007818268770922966,2025-09-23 16:00:00+00:00,2025-09-23 17:00:00+00:00,0 days 01:00:00,,,,,,,62.69,,62.73
