Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_Bullish FVG Top,Exit_Bullish FVG Top,Entry_Bullish FVG Bottom,Exit_Bullish FVG Bottom,Entry_Bearish FVG Bottom,Exit_Bearish FVG Bottom,Entry_Bearish FVG Top,Exit_Bearish FVG Top
18,318,322,4425.3,4378.5,4378.5,4518.900000000001,-1159.3368000000032,316.93680000000006,-0.014554403091315912,2025-10-21 00:00:00+00:00,2025-10-21 08:00:00+00:00,0 days 08:00:00,,,,,,,4386.6,,4403.2
-19,331,335,4224.4,4131.199999999999,4271.0,4131.199999999999,1453.2872000000139,317.51279999999997,0.018106429315405896,2025-10-22 02:00:00+00:00,2025-10-22 10:00:00+00:00,0 days 08:00:00,,,,,,,4173.1,,4208.5
-20,339,341,4173.1,4181.8,,,-508.1959999999964,334.196,-0.006088950660180681,2025-10-22 18:00:00+00:00,2025-10-22 22:00:00+00:00,0 days 04:00:00,,,,,,,,,
20,341,342,4173.3,4149.5,4149.5,4220.900000000001,-808.9120000000037,332.91200000000003,-0.009691515107948228,2025-10-22 22:00:00+00:00,2025-10-23 00:00:00+00:00,0 days 02:00:00,,,,,,,,,
19,350,357,4218.2,4180.7,4180.7,4293.2,-1031.6582,319.1582,-0.01287226779194918,2025-10-23 16:00:00+00:00,2025-10-24 06:00:00+00:00,0 days 14:00:00,,,,,,,4186.0,,4189.3
-19,360,361,4159.0,4188.4,,4105.0,-875.8011999999931,317.2012,-0.01108314498677552,2025-10-24 12:00:00+00:00,2025-10-24 14:00:00+00:00,0 days 02:00:00,,,4183.6,,4152.0,,,,
19,364,366,4183.6,4139.8,4139.8,4271.200000000001,-1148.4892000000036,316.28920000000005,-0.01444851324218381,2025-10-24 20:00:00+00:00,2025-10-27 00:00:00+00:00,2 days 04:00:00,,,,,,,,,
-19,372,373,4128.0,4083.7999999999993,4150.1,4083.7999999999993,527.7516000000138,312.0484,0.006728779069767605,2025-10-27 12:00:00+00:00,2025-10-27 14:00:00+00:00,0 days 02:00:00,,,,,,,,,
-19,375,376,4089.8,4063.2,4103.1,4063.2,195.58600000000695,309.81399999999996,0.002516993496014602,2025-10-27 18:00:00+00:00,2025-10-27 20:00:00+00:00,0 days 02:00:00,,,,,,,,,
-20,384,385,4015.3,4047.9,4047.9,3950.1000000000004,-974.5279999999982,322.528,-0.012135182925310614,2025-10-28 12:00:00+00:00,2025-10-28 14:00:00+00:00,0 days 02:00:00,,,4013.8,,4011.3,,,,
19,387,389,4030.2,4013.8,4013.8,4062.999999999999,-617.2719999999931,305.672,-0.008061138405041836,2025-10-28 18:00:00+00:00,2025-10-28 22:00:00+00:00,0 days 04:00:00,,,,,,,,,
19,396,397,4092.2,4078.8,4078.8,4118.999999999999,-565.0979999999931,310.498,-0.007267973217340249,2025-10-29 12:00:00+00:00,2025-10-29 14:00:00+00:00,0 days 02:00:00,,,,,,,,,
-19,399,400,4081.7,4023.2,4102.9,4039.3,803.5138,307.98620000000005,0.010360928044687237,2025-10-29 18:00:00+00:00,2025-10-29 20:00:00+00:00,0 days 02:00:00,,,,,,,4032.4,,4064.4
-19,402,406,4032.4,4037.7,,,-407.36379999999485,306.66380000000004,-0.005316982442217916,2025-10-30 00:00:00+00:00,2025-10-30 08:00:00+00:00,0 days 08:00:00,,,,,,,,,
-19,417,418,4089.3,4098.4,4098.4,4071.1000000000013,-484.0325999999896,311.13259999999997,-0.00622977037634798,2025-10-31 06:00:00+00:00,2025-10-31 08:00:00+00:00,0 days 02:00:00,,,,,,,,,
-19,442,444,4075.3,4058.9000000000005,4083.5,4058.9000000000005,2.5003999999930784,309.0996,3.2292101194961e-05,2025-11-04 08:00:00+00:00,2025-11-04 12:00:00+00:00,0 days 04:00:00,,,,,,,,,
-19,450,451,4016.0,4031.6,4031.6,3984.8,-602.2087999999983,305.8088,-0.007892231075697274,2025-11-05 00:00:00+00:00,2025-11-05 02:00:00+00:00,0 days 02:00:00,,,,,,,,,
19,455,463,4033.0,4049.5,,,6.365000000000009,307.135,8.306471609221145e-05,2025-11-05 10:00:00+00:00,2025-11-06 02:00:00+00:00,0 days 16:00:00,,,,,,,,,
-19,463,464,4051.0,4060.6,,4037.2,-490.6407999999983,308.24080000000004,-0.006374524808689166,2025-11-06 02:00:00+00:00,2025-11-06 04:00:00+00:00,0 days 02:00:00,,,4057.6,,4051.0,,,,
19,465,466,4057.6,4080.2,4047.1,4078.6,120.16359999999827,309.2364,0.0015586553627760322,2025-11-06 06:00:00+00:00,2025-11-06 08:00:00+00:00,0 days 02:00:00,,,4079.2,,4064.7,,,,
19,467,469,4079.2,4055.7,4055.7,4126.2,-755.6262,309.12620000000004,-0.009749411649342992,2025-11-06 10:00:00+00:00,2025-11-06 14:00:00+00:00,0 days 04:00:00,,,,,,,,,
-18,471,479,4061.5,4080.0,,,-626.094,293.094,-0.008564077311338177,2025-11-06 18:00:00+00:00,2025-11-07 10:00:00+00:00,0 days 16:00:00,,,,,,,,,
18,479,480,4076.6,4064.7,4064.7,4100.4,-507.2868000000016,293.0868,-0.006913261050875752,2025-11-07 10:00:00+00:00,2025-11-07 12:00:00+00:00,0 days 02:00:00,,,,,,,,,
17,500,505,4202.6,4190.3,4190.3,4227.200000000001,-494.4586000000031,285.3586,-0.0069209061057441245,2025-11-11 04:00:00+00:00,2025-11-11 14:00:00+00:00,0 days 10:00:00,,,,,,,,,
-17,507,509,4190.9,4199.5,,,-431.4736000000062,285.2736,-0.006056169319239309,2025-11-11 18:00:00+00:00,2025-11-11 22:00:00+00:00,0 days 04:00:00,,,4199.5,,4199.0,,,,
17,510,511,4199.5,4195.0,4195.0,4208.5,-361.913,285.413,-0.005069413025360161,2025-11-12 00:00:00+00:00,2025-11-12 02:00:00+00:00,0 days 02:00:00,,,,,,,,,
-17,513,516,4186.5,4209.3,4209.3,4140.9,-673.0572000000031,285.45720000000006,-0.009456968828376888,2025-11-12 06:00:00+00:00,2025-11-12 12:00:00+00:00,0 days 06:00:00,,,,,,,,,
17,520,522,4265.3,4254.7,4254.7,4286.500000000001,-469.8800000000062,289.68,-0.006480200689283353,2025-11-12 20:00:00+00:00,2025-11-13 00:00:00+00:00,0 days 04:00:00,,,,,,,,,
-17,533,535,4253.2,4276.4,4276.4,4206.8,-684.4063999999969,290.0064,-0.009465625881689057,2025-11-13 22:00:00+00:00,2025-11-14 02:00:00+00:00,0 days 04:00:00,,,4259.6,,4257.9,,,,
17,536,537,4259.6,4244.2,4244.2,4290.4000000000015,-550.9292000000094,289.1292,-0.0076081322189878765,2025-11-14 04:00:00+00:00,2025-11-14 06:00:00+00:00,0 days 02:00:00,,,,,,,,,
-17,542,556,4165.0,4073.2000000000007,4210.9,4073.2000000000007,1280.5011999999876,280.09880000000004,0.018084897959183492,2025-11-14 16:00:00+00:00,2025-11-17 20:00:00+00:00,3 days 04:00:00,,,,,,,4112.7,,4119.1
-17,557,564,4112.7,4104.8,,,-145.09500000000617,279.395,-0.00207527901378663,2025-11-17 22:00:00+00:00,2025-11-18 12:00:00+00:00,0 days 14:00:00,,,,,,,,,
17,564,572,4101.9,4154.699999999999,4075.5,4154.699999999999,616.8755999999877,280.72439999999995,0.008846339501206557,2025-11-18 12:00:00+00:00,2025-11-19 04:00:00+00:00,0 days 16:00:00,,,,,,,,,
17,574,579,4151.7,4145.9,,,-380.71840000000304,282.11839999999995,-0.005394224052797681,2025-11-19 08:00:00+00:00,2025-11-19 18:00:00+00:00,0 days 10:00:00,,,,,,,,,
-17,581,590,4166.2,4135.6,,,237.9387999999907,282.26120000000003,0.0033595122653736287,2025-11-19 22:00:00+00:00,2025-11-20 16:00:00+00:00,0 days 18:00:00,,,,,,,,,
17,590,591,4135.6,4125.1,4125.1,4156.6,-459.3638000000001,280.8638000000001,-0.0065338524035206255,2025-11-20 16:00:00+00:00,2025-11-20 18:00:00+00:00,0 days 02:00:00,,,,,,,,,
17,604,606,4119.4,4138.0,,,35.44840000000619,280.7516,0.000506190221877127,2025-11-21 20:00:00+00:00,2025-11-24 00:00:00+00:00,2 days 04:00:00,,,,,,,,,
-17,608,611,4121.3,4139.1,4139.1,4085.7,-583.4536000000031,280.85360000000003,-0.008327663601290973,2025-11-24 04:00:00+00:00,2025-11-24 10:00:00+00:00,0 days 06:00:00,,,,,,,,,
17,615,616,4154.1,4197.9000000000015,4132.2,4197.9000000000015,460.6320000000185,283.9680000000001,0.006522712500902906,2025-11-24 18:00:00+00:00,2025-11-24 20:00:00+00:00,0 days 02:00:00,,,4184.1,,4166.4,,,,
17,622,623,4184.1,4193.0,,,-133.52140000000622,284.82140000000004,-0.0018771539877155217,2025-11-25 08:00:00+00:00,2025-11-25 10:00:00+00:00,0 days 02:00:00,,,,,,4203.4,,4204.2,
-17,623,625,4203.4,4175.999999999998,4217.1,4175.999999999998,180.90040000002477,284.89959999999996,0.002531569681686649,2025-11-25 10:00:00+00:00,2025-11-25 14:00:00+00:00,0 days 04:00:00,,,,,,,,,
17,633,637,4220.1,4210.3,4210.3,4239.700000000001,-453.2336000000031,286.6336,-0.006317575412904943,2025-11-26 06:00:00+00:00,2025-11-26 14:00:00+00:00,0 days 08:00:00,,,,,,,,,
-17,645,646,4217.8,4228.1,4228.1,4197.2,-462.26060000000314,287.16060000000004,-0.006446915453554026,2025-11-27 06:00:00+00:00,2025-11-27 08:00:00+00:00,0 days 02:00:00,,,,,,,,,
16,659,673,4247.8,4294.5,,,473.84639999999706,273.35360000000003,0.0069719384151795735,2025-11-28 12:00:00+00:00,2025-12-01 18:00:00+00:00,3 days 06:00:00,,,,,,,,,
-16,673,675,4304.8,4288.8,4312.8,4288.8,-18.99520000000001,274.9952,-0.0002757851700427912,2025-12-01 18:00:00+00:00,2025-12-01 22:00:00+00:00,0 days 04:00:00,,,,,,,,,
-17,685,688,4257.0,4273.0,,,-562.02,290.02,-0.007766032417195201,2025-12-02 18:00:00+00:00,2025-12-03 00:00:00+00:00,0 days 06:00:00,,,,,,,,,
16,690,692,4262.9,4265.3,,,-234.50239999999127,272.9024,-0.003438128973233972,2025-12-03 04:00:00+00:00,2025-12-03 08:00:00+00:00,0 days 04:00:00,,,,,,,,,
-16,694,695,4272.1,4297.7,,4245.9000000000015,-683.8335999999913,274.2336,-0.010004353830668652,2025-12-03 12:00:00+00:00,2025-12-03 14:00:00+00:00,0 days 02:00:00,,,,,,,,,
-16,704,706,4256.6,4257.2,,,-282.04159999999126,272.4416,-0.004141239486914336,2025-12-04 08:00:00+00:00,2025-12-04 12:00:00+00:00,0 days 04:00:00,,,,,,,,,
16,706,722,4255.1,4266.4,,,-91.88800000001163,272.688,-0.0013496745082373519,2025-12-04 12:00:00+00:00,2025-12-05 20:00:00+00:00,1 days 08:00:00,,,,,,,,,
-16,740,741,4242.3,4261.2,,4220.100000000001,-574.5119999999941,272.11199999999997,-0.008464040732621358,2025-12-09 08:00:00+00:00,2025-12-09 10:00:00+00:00,0 days 02:00:00,,,4259.1,,4242.3,,,,
16,742,754,4259.1,4254.2,,,-350.82560000000876,272.42560000000003,-0.005148176844873444,2025-12-09 12:00:00+00:00,2025-12-10 12:00:00+00:00,1 days 00:00:00,,,,,,,,,
-16,754,755,4254.7,4263.6,4263.6,4236.899999999999,-414.98560000000873,272.5856,-0.006095987966249268,2025-12-10 12:00:00+00:00,2025-12-10 14:00:00+00:00,0 days 02:00:00,,,,,,,,,
16,761,762,4282.4,4269.2,4269.2,4308.799999999999,-484.8511999999971,273.6512,-0.007076218942648944,2025-12-11 02:00:00+00:00,2025-12-11 04:00:00+00:00,0 days 02:00:00,,,,,,,4275.1,,4289.6
-16,764,767,4275.1,4299.3,4299.3,4226.700000000001,-661.5807999999971,274.3808,-0.009672007672335177,2025-12-11 08:00:00+00:00,2025-12-11 14:00:00+00:00,0 days 06:00:00,,,,,,,,,
15,779,780,4386.1,4349.7,,4404.9000000000015,-808.0740000000083,262.074,-0.012282346503727861,2025-12-12 14:00:00+00:00,2025-12-12 16:00:00+00:00,0 days 02:00:00,,,,,,,4359.5,,4386.1
-15,781,786,4359.5,4389.1,,,-706.4580000000054,262.45799999999997,-0.010803349007913755,2025-12-12 18:00:00+00:00,2025-12-15 04:00:00+00:00,2 days 10:00:00,,,,,,,,,
15,790,791,4396.4,4385.8,4385.8,4417.5999999999985,-422.4659999999918,263.466,-0.006406241470293794,2025-12-15 12:00:00+00:00,2025-12-15 14:00:00+00:00,0 days 02:00:00,,,,,,,,,
-15,802,803,4348.3,4372.2,,4305.900000000001,-620.1149999999946,261.615,-0.009507393694087238,2025-12-16 12:00:00+00:00,2025-12-16 14:00:00+00:00,0 days 02:00:00,,,4370.5,,4340.9,,,,
15,804,834,4370.5,4375.6,,,-185.88299999999458,262.38300000000004,-0.002835419288410814,2025-12-16 16:00:00+00:00,2025-12-19 04:00:00+00:00,2 days 12:00:00,,,,,,,,,
-14,834,838,4384.9,4396.9,4396.9,4360.9,-413.8904,245.89039999999997,-0.006742137791055651,2025-12-19 04:00:00+00:00,2025-12-19 12:00:00+00:00,0 days 08:00:00,,,,,,,,,
14,842,864,4404.4,4516.4,,,1318.2176,249.78239999999997,0.0213782581055308,2025-12-19 20:00:00+00:00,2025-12-23 16:00:00+00:00,3 days 20:00:00,,,,,,,,,
-14,865,867,4541.5,4547.4,,,-337.0891999999949,254.48919999999998,-0.0053017285037982535,2025-12-23 18:00:00+00:00,2025-12-23 22:00:00+00:00,0 days 04:00:00,,,,,,,,,
14,867,868,4543.2,4568.399999999999,4530.6,4568.399999999999,97.67519999998476,255.12479999999996,0.0015356576862122035,2025-12-23 22:00:00+00:00,2025-12-24 00:00:00+00:00,0 days 02:00:00,,,4562.0,,4557.0,,,,
14,869,870,4562.0,4542.9,4542.9,4600.200000000001,-522.337200000005,254.9372,-0.008178386672512191,2025-12-24 02:00:00+00:00,2025-12-24 04:00:00+00:00,0 days 02:00:00,,,,,,,4559.5,,4562.0
-14,878,879,4559.5,4558.1,,,-235.6928000000051,255.2928,-0.003692334685820928,2025-12-25 22:00:00+00:00,2025-12-26 00:00:00+00:00,0 days 02:00:00,,4548.7,4554.7,4544.1,4539.2,,,,
14,880,881,4554.7,4566.7,4548.7,4566.7,-87.39920000000001,255.3992,-0.0013706281423584423,2025-12-26 02:00:00+00:00,2025-12-26 04:00:00+00:00,0 days 02:00:00,,,,,,,,,
-14,903,928,4395.3,4391.3,,,-190.02480000000003,246.02480000000003,-0.003088116852092022,2025-12-30 00:00:00+00:00,2026-01-02 02:00:00+00:00,3 days 02:00:00,,,,,,,,,
14,933,934,4426.6,4407.6,,4434.800000000001,-513.3576,247.35760000000005,-0.008283648850133336,2026-01-02 12:00:00+00:00,2026-01-02 14:00:00+00:00,0 days 02:00:00,,,,,,,4415.6,,4426.6
-14,937,938,4365.7,4398.0,,4340.7,-697.5836000000025,245.3836,-0.01141338158829064,2026-01-02 20:00:00+00:00,2026-01-04 22:00:00+00:00,2 days 02:00:00,,,4384.2,,4365.7,,,,
14,944,945,4459.3,4450.4,4450.4,4477.100000000001,-374.0716000000076,249.4716,-0.0059918372838787875,2026-01-05 10:00:00+00:00,2026-01-05 12:00:00+00:00,0 days 02:00:00,,,,,,,,,
14,951,952,4473.4,4503.4,4458.4,4503.4,168.64960000000002,251.35039999999998,0.0026928957839674854,2026-01-06 00:00:00+00:00,2026-01-06 02:00:00+00:00,0 days 02:00:00,,,,,,,,,
14,963,964,4512.2,4503.4,4503.4,4529.8,-375.63680000000255,252.4368,-0.005946367625548526,2026-01-07 00:00:00+00:00,2026-01-07 02:00:00+00:00,0 days 02:00:00,,,,,,,4522.0,,4534.0
-14,971,984,4494.6,4503.1,,,-370.9356,251.93560000000005,-0.0058949405953811155,2026-01-07 16:00:00+00:00,2026-01-08 18:00:00+00:00,1 days 02:00:00,,,,,,,,,
14,984,1036,4486.5,4635.3,,,1827.7896000000026,255.41040000000004,0.029099832831828785,2026-01-08 18:00:00+00:00,2026-01-15 02:00:00+00:00,6 days 08:00:00,,,,,,,,,
-13,1040,1041,4654.3,4625.500000000001,4668.7,4625.500000000001,133.1251999999905,241.27480000000003,0.002200201963775306,2026-01-15 10:00:00+00:00,2026-01-15 12:00:00+00:00,0 days 02:00:00,,,,,,,,,
-14,1049,1050,4639.0,4646.9,,4624.0,-370.60519999999485,260.00519999999995,-0.0057063591291226816,2026-01-16 04:00:00+00:00,2026-01-16 06:00:00+00:00,0 days 02:00:00,,,,,,,,,
13,1060,1111,4694.9,4953.1,,,3105.7520000000095,250.848,0.05088585486378846,2026-01-19 02:00:00+00:00,2026-01-23 10:00:00+00:00,4 days 08:00:00,,,,,,,4966.9,,4977.9
-13,1112,1113,4966.9,4982.4,4982.4,4935.9,-460.18179999999995,258.68179999999995,-0.007126900078519759,2026-01-23 12:00:00+00:00,2026-01-23 14:00:00+00:00,0 days 02:00:00,,,4967.1,,4966.9,,,,
13,1115,1117,4993.7,5047.5,4967.1,5046.899999999999,438.3288000000024,261.0712,0.006752027554719066,2026-01-23 18:00:00+00:00,2026-01-25 22:00:00+00:00,2 days 04:00:00,,,5036.0,,5025.3,,,,
13,1120,1127,5098.6,5062.2,5062.2,5171.4000000000015,-737.3808000000071,264.1808,-0.011124936257011796,2026-01-26 04:00:00+00:00,2026-01-26 18:00:00+00:00,0 days 14:00:00,,,,,,,,,
-13,1130,1138,5092.7,5135.0,5135.0,5008.099999999999,-815.8202000000024,265.92019999999997,-0.012322618650224815,2026-01-27 00:00:00+00:00,2026-01-27 16:00:00+00:00,0 days 16:00:00,,,,,,,,,
12,1142,1160,5191.5,5553.2,,,4082.5271999999977,257.8728,0.06553223538476344,2026-01-28 00:00:00+00:00,2026-01-29 12:00:00+00:00,1 days 12:00:00,,,,,,,,,
-12,1160,1161,5559.9,5510.0999999999985,5584.8,5510.0999999999985,331.92000000001315,265.67999999999995,0.004974909620676821,2026-01-29 12:00:00+00:00,2026-01-29 14:00:00+00:00,0 days 02:00:00,,,,,,,,,
-13,1164,1166,5404.2,5467.5,,,-1105.5642000000023,282.6642,-0.01573653824802925,2026-01-29 20:00:00+00:00,2026-01-30 00:00:00+00:00,0 days 04:00:00,,,,,,,,,
12,1166,1167,5407.5,5311.0,5311.0,5600.5,-1415.2440000000001,257.244,-0.02180989366620431,2026-01-30 00:00:00+00:00,2026-01-30 02:00:00+00:00,0 days 02:00:00,,,,,,,5345.8,,5407.5
-14,1182,1183,4641.0,4740.0,,4454.0,-1648.6680000000001,262.668,-0.025374272786037416,2026-02-02 08:00:00+00:00,2026-02-02 10:00:00+00:00,0 days 02:00:00,,,4678.0,,4641.0,,,,
14,1185,1190,4678.0,4875.200000000001,4579.4,4875.200000000001,2493.3104000000103,267.48960000000005,0.03807045746045332,2026-02-02 14:00:00+00:00,2026-02-03 00:00:00+00:00,0 days 10:00:00,,,4788.0,,4723.3,,,,
